zip_code,building_type, consumption_therms, consumption_gj,utility_data_source
10473,Commercial,8638721,911433,ConEd
10474,Residential,114041,12032,ConEd
10474,Residential,558002,58872,ConEd
10474,Commercial,2094768,221010,ConEd
10474,Commercial,3122702,329463,ConEd
10474,Large Residential,3339390,352324,ConEd
10475,Residential,9204,971,ConEd
10475,Residential,359517,37931,ConEd
10475,Commercial,755111,79668,ConEd
10475,Commercial,11525984,1216056,ConEd
10475,Large Residential,16694182,1761330,ConEd
11001,Residential,53094,5602,ConEd
11001,Commercial,79704,8409,ConEd
11001,Commercial,375299,39596,ConEd
11001,Residential,703063,74177,ConEd
11004,Residential,132722,14003,ConEd
11004,Commercial,280325,29576,ConEd
11004,Residential,1358168,143294,ConEd
11004,Commercial,2555500,269620,ConEd
11004,Large Residential,3975637,419452,ConEd
11040,Residential,17466,1843,ConEd
11040,Commercial,42315,4464,ConEd
11040,Residential,378066,39888,ConEd
11040,Commercial,1051227,110910,ConEd
11040,Large Residential,3364311,354954,ConEd
11101,Residential,182865,19293,ConEd
11101,Residential,1144993,120803,ConEd
11101,Commercial,7992026,843203,ConEd
11101,Commercial,9475891,999760,ConEd
11101,Large Residential,11435850,1206546,ConEd
11102,Large Residential,79519,8390,ConEd
11102,Residential,311766,32893,ConEd
11102,Commercial,1778170,187607,ConEd
11102,Residential,1941012,204788,ConEd
11102,Commercial,3509357,370257,ConEd
11103,Large Residential,80092,8450,ConEd
11103,Residential,454090,47909,ConEd
11103,Commercial,1904692,200956,ConEd
11103,Commercial,2788104,294161,ConEd
11103,Residential,2853904,301103,ConEd
11104,Large Residential,226694,23917,ConEd
11104,Residential,329490,34763,ConEd
11104,Residential,1153072,121656,ConEd
11104,Commercial,1377109,145293,ConEd
11104,Commercial,1399157,147619,ConEd
11105,Large Residential,23820,2513,ConEd
11105,Residential,403403,42561,ConEd
11105,Commercial,2763314,291545,ConEd
11105,Residential,3098073,326864,ConEd
11105,Commercial,3603071,380144,ConEd
11106,Large Residential,66963,7065,ConEd
11106,Residential,350151,36943,ConEd
11106,Residential,1827237,192784,ConEd
11106,Commercial,2708112,285721,ConEd
11106,Commercial,4841650,510821,ConEd
11109,Commercial,45899,4843,ConEd
11109,Residential,175063,18470,ConEd
11109,Commercial,752231,79365,ConEd
11200,Institutional,3605,380,National Grid
11200,Small Residential,3960,418,National Grid
11200,Commercial,32125,3389,National Grid
11201,Small Residential,3575205,377204,National Grid
11201,Industrial,3887016,410102,National Grid
11201,Institutional,4499131,474684,National Grid
11201,Commercial,13571483,1431867,National Grid
11201,Large Residential,18973029,2001761,National Grid
11203,Industrial,268262,28303,National Grid
11203,Commercial,2692298,284053,National Grid
11203,Large Residential,5413010,571103,National Grid
11203,Institutional,7869164,830241,National Grid
11203,Small Residential,13346866,1408169,National Grid
11204,Industrial,162329,17127,National Grid
11204,Institutional,892032,94114,National Grid
11204,Commercial,1607460,169596,National Grid
11204,Large Residential,4614998,486908,National Grid
11204,Small Residential,14470621,1526732,National Grid
11205,Institutional,566498,59769,National Grid
11205,Industrial,949014,100126,National Grid
11205,Small Residential,3834731,404586,National Grid
11205,Commercial,4023498,424502,National Grid
11205,Large Residential,11356025,1198124,National Grid
11206,Industrial,593089,62574,National Grid
11206,Institutional,2486776,262369,National Grid
11206,Commercial,3420403,360872,National Grid
11206,Small Residential,5252607,554179,National Grid
11206,Large Residential,22360022,2359108,National Grid
11207,Industrial,1355364,142998,National Grid
11207,Commercial,3104972,327592,National Grid
11207,Institutional,3278246,345873,National Grid
11207,Small Residential,12107357,1277394,National Grid
11207,Large Residential,18203649,1920587,National Grid
11208,Industrial,1481393,156295,National Grid
11208,Institutional,2265878,239063,National Grid
11208,Commercial,2729613,287989,National Grid
11208,Small Residential,12293703,1297055,National Grid
11208,Large Residential,17908171,1889412,National Grid
11209,Industrial,29677,3131,National Grid
11209,Institutional,2102591,221835,National Grid
11209,Commercial,2452630,258766,National Grid
11209,Small Residential,9963344,1051189,National Grid
11209,Large Residential,10004300,1055510,National Grid
11210,Industrial,63151,6663,National Grid
11210,Commercial,1224750,129218,National Grid
11210,Institutional,1837588,193876,National Grid
11210,Large Residential,6310191,665760,National Grid
11210,Small Residential,11755834,1240306,National Grid
11211,Industrial,1046750,110438,National Grid
11211,Institutional,1200176,126625,National Grid
11211,Commercial,4822516,508802,National Grid
11211,Small Residential,9211590,971874,National Grid
11211,Large Residential,12471511,1315814,National Grid
11212,Institutional,1441719,152109,National Grid
11212,Commercial,1796469,189538,National Grid
11212,Industrial,3623309,382279,National Grid
11212,Small Residential,7377894,778409,National Grid
11212,Large Residential,25048890,2642798,National Grid
11213,Industrial,24515,2586,National Grid
11213,Institutional,889348,93831,National Grid
11213,Commercial,1724052,181897,National Grid
11213,Small Residential,5855036,617739,National Grid
11213,Large Residential,10763716,1135632,National Grid
11214,Industrial,285392,30110,National Grid
11214,Institutional,855968,90309,National Grid
11214,Commercial,3050502,321845,National Grid
11214,Large Residential,7906290,834158,National Grid
11214,Small Residential,12807919,1351307,National Grid
11215,Institutional,675011,71217,National Grid
11215,Industrial,1488168,157010,National Grid
11215,Commercial,5232962,552107,National Grid
11215,Large Residential,6712652,708222,National Grid
11215,Small Residential,9903140,1044837,National Grid
11216,Industrial,50669,5346,National Grid
11216,Institutional,1015256,107115,National Grid
11216,Commercial,1795793,189466,National Grid
11216,Large Residential,6405467,675813,National Grid
11216,Small Residential,6780596,715391,National Grid
11217,Industrial,115795,12217,National Grid
11217,Institutional,769153,81150,National Grid
11217,Commercial,2720173,286993,National Grid
11217,Small Residential,4615326,486943,National Grid
11217,Large Residential,7818509,824896,National Grid
11218,Institutional,342884,36176,National Grid
11218,Industrial,441018,46530,National Grid
11218,Commercial,2009772,212042,National Grid
11218,Large Residential,8839578,932625,National Grid
11218,Small Residential,9322895,983618,National Grid
11219,Institutional,1076397,113566,National Grid
11219,Commercial,2866327,302414,National Grid
11219,Industrial,3101780,327255,National Grid
11219,Large Residential,4862069,512976,National Grid
11219,Small Residential,13366615,1410253,National Grid
11220,Institutional,625816,66027,National Grid
11220,Industrial,2234971,235802,National Grid
11220,Commercial,5007824,528353,National Grid
11220,Large Residential,6756193,712816,National Grid
11220,Small Residential,10755271,1134741,National Grid
11221,Industrial,50866,5367,National Grid
11221,Institutional,1174968,123966,National Grid
11221,Commercial,1761754,185875,National Grid
11221,Large Residential,8523704,899299,National Grid
11221,Small Residential,10226769,1078981,National Grid
11222,Industrial,1309400,138149,National Grid
11222,Institutional,2368948,249937,National Grid
11222,Commercial,3484625,367647,National Grid
11222,Large Residential,3928747,414505,National Grid
11222,Small Residential,4373864,461467,National Grid
11223,Industrial,159925,16873,National Grid
11223,Institutional,1093448,115365,National Grid
11223,Commercial,2376036,250685,National Grid
11223,Large Residential,7349231,775385,National Grid
11223,Small Residential,14240984,1502504,National Grid
11224,Industrial,101615,10721,National Grid
11224,Institutional,455120,48018,National Grid
11224,Commercial,2484705,262150,National Grid
11224,Small Residential,2671212,281828,National Grid
11224,Large Residential,36143134,3813303,National Grid
11225,Industrial,567743,59900,National Grid
11225,Institutional,1222964,129030,National Grid
11225,Commercial,1296975,136838,National Grid
11225,Small Residential,4686218,494422,National Grid
11225,Large Residential,12401180,1308394,National Grid
11226,Industrial,65835,6946,National Grid
11226,Institutional,994926,104970,National Grid
11226,Commercial,2807970,296257,National Grid
11226,Small Residential,6406707,675943,National Grid
11226,Large Residential,19482081,2055469,National Grid
11228,Institutional,278441,29377,National Grid
11228,Industrial,543497,57342,National Grid
11228,Large Residential,761559,80349,National Grid
11228,Commercial,881038,92954,National Grid
11228,Small Residential,9926950,1047349,National Grid
11229,Industrial,141426,14921,National Grid
11229,Institutional,447194,47181,National Grid
11229,Commercial,1993920,210370,National Grid
11229,Small Residential,12866878,1357528,National Grid
11229,Large Residential,13147358,1387120,National Grid
11230,Industrial,101877,10749,National Grid
11230,Commercial,2318028,244565,National Grid
11230,Institutional,3604096,380252,National Grid
11230,Small Residential,11665262,1230750,National Grid
11230,Large Residential,12513612,1320256,National Grid
11231,Institutional,346781,36587,National Grid
11231,Industrial,352339,37174,National Grid
11231,Commercial,3743947,395007,National Grid
11231,Small Residential,5330545,562402,National Grid
11231,Large Residential,8892620,938221,National Grid
11232,Institutional,1847474,194919,National Grid
11232,Large Residential,2048639,216143,National Grid
11232,Small Residential,2619957,276420,National Grid
11232,Commercial,3285406,346629,National Grid
11232,Industrial,13048581,1376698,National Grid
11233,Industrial,88898,9379,National Grid
11233,Institutional,1165816,123000,National Grid
11233,Commercial,1223131,129047,National Grid
11233,Small Residential,8291426,874792,National Grid
11233,Large Residential,10673659,1126131,National Grid
11234,Industrial,657191,69337,National Grid
11234,Institutional,1812535,191233,National Grid
11234,Large Residential,5240504,552903,National Grid
11234,Commercial,6157277,649627,National Grid
11234,Small Residential,22219097,2344239,National Grid
11235,Industrial,44596,4705,National Grid
11235,Institutional,2091533,220668,National Grid
11235,Commercial,3818158,402837,National Grid
11235,Small Residential,9977961,1052731,National Grid
11235,Large Residential,15358828,1620442,National Grid
11236,Industrial,805099,84942,National Grid
11236,Institutional,839695,88593,National Grid
11236,Commercial,3108542,327969,National Grid
11236,Large Residential,11489554,1212212,National Grid
11236,Small Residential,19201617,2025878,National Grid
11237,Institutional,809265,85382,National Grid
11237,Industrial,2133783,225126,National Grid
11237,Commercial,2600827,274402,National Grid
11237,Small Residential,3804248,401369,National Grid
11237,Large Residential,4718001,497776,National Grid
11238,Industrial,228912,24151,National Grid
11238,Institutional,1006041,106143,National Grid
11238,Commercial,2045915,215855,National Grid
11238,Small Residential,5094432,537491,National Grid
11238,Large Residential,9649474,1018074,National Grid
11239,Industrial,11771,1242,National Grid
11239,Small Residential,187050,19735,National Grid
11239,Institutional,274144,28924,National Grid
11239,Commercial,487427,51426,National Grid
11239,Large Residential,33558083,3540566,National Grid
11241,Commercial,184,19,National Grid
11241,Small Residential,947,100,National Grid
11242,Commercial,147434,15555,National Grid
11243,Commercial,558,59,National Grid
11243,Large Residential,201530,21263,National Grid
11252,Commercial,38852,4099,National Grid
11252,Institutional,301262,31785,National Grid
11254,Small Residential,1896,200,National Grid
11256,Institutional,277857,29315,National Grid
11274,Commercial,8364,882,National Grid
11279,Large Residential,301,32,National Grid
11279,Commercial,2579,272,National Grid
11303,Small Residential,3009,317,National Grid
11303,Commercial,13039,1376,National Grid
11313,Small Residential,3488,368,National Grid
11314,Small Residential,6011,634,National Grid
11315,Institutional,339,36,National Grid
11315,Small Residential,4458,470,National Grid
11315,Commercial,8520,899,National Grid
11315,Large Residential,335091,35354,National Grid
11323,Commercial,3637,384,National Grid
11332,Commercial,3795,400,National Grid
11337,Commercial,4928,520,National Grid
11343,Small Residential,2454,259,National Grid
11350,Commercial,10048,1060,National Grid
11354,Small Residential,2080,219,National Grid
11354,Residential,299334,31581,ConEd
11354,Large Residential,2040792,215315,ConEd
11354,Residential,4101823,432765,ConEd
11354,Commercial,7429045,783806,ConEd
11354,Commercial,7628542,804854,ConEd
11355,Residential,503099,53080,ConEd
11355,Large Residential,2632163,277708,ConEd
11355,Commercial,4323496,456153,ConEd
11355,Commercial,5137322,542016,ConEd
11355,Residential,5458878,575942,ConEd
11356,Large Residential,11747,1239,ConEd
11356,Residential,268003,28276,ConEd
11356,Commercial,2415327,254831,ConEd
11356,Commercial,2433066,256702,ConEd
11356,Residential,2618017,276215,ConEd
11357,Small Residential,589,62,National Grid
11357,Residential,324086,34193,ConEd
11357,Commercial,1271449,134145,ConEd
11357,Commercial,2399589,253170,ConEd
11357,Residential,6962862,734621,ConEd
11358,Commercial,2055,217,ConEd
11358,Residential,405678,42801,ConEd
11358,Commercial,1898565,200309,ConEd
11358,Commercial,2357195,248697,ConEd
11358,Residential,5983515,631294,ConEd
11359,Commercial,128,13,ConEd
11360,Commercial,17858,1884,ConEd
11360,Residential,45219,4771,ConEd
11360,Commercial,486382,51316,ConEd
11360,Commercial,2307963,243503,ConEd
